from,to,weight,relationship,time,,
aasm,besi,1,2,2,5,NA
aasm,kono,1,2,2,6,NA
aasm,todo,1,2,3,6,NA
aasm,padan,1,2,3,6,NA
aasm,chlo,1,2,3,2,NA
abwe,frsi,1,2,1,6,1944
abzw,gumo,1,2,2,6,NA
abzw,anca,1,2,2,6,NA
abzw,geca,1,2,3,6,NA
alca,jofi,1,1,2,6,NA
alca,chou,3,2,2,6,NA
alca,rofi,1,1,2,6,NA
alca,chfi,1,1,2,6,NA
alca,nifi,1,1,NA,6,NA
alca,anac,2,2,2,4,NA
alfr,drafa,3,2,2,6,NA
alfr,meco,1,2,2,6,1945
alle,frsi,2,2,1,4,1943
alma,frsi,1,2,1,6,NA
alsi,frsi,2,2,1,4,1946
anac,chou,3,2,2,6,NA
anac,felu,2,2,2,6,NA
anac,alca,2,2,2,4,NA
anca,gefa,1,2,2,6,NA
anca,abzw,1,2,2,6,NA
anca,geca,1,2,2,6,NA
ancar,frsi,3,2,NA,5,1969
ancar,roal,1,2,3,1,1971
ancar,cono,1,NA,2,NA,NA
anci,frsi,2,2,3,5,1963
anci,cono,3,2,1,NA,1963
anco,frsi,3,2,3,5,1961
ande,gafa,3,2,2,NA,1930
ande,caga,1,2,2,6,1972
ande,josi,2,NA,3,6,1972
ande,frsi,1,2,2,6,1972
ande,erri,1,2,2,6,1972
ande,roal,1,2,3,1,1971
ande,cono,2,2,2,NA,NA
ansc,frsi,1,2,3,5,1967
ansc,cono,1,2,2,NA,1967
anst,vimo,1,2,1,4,1956
anst,cono,3,1,2,NA,1956
avga,frsi,2,1,3,6,1951
bafa,cofa,3,2,2,4,1930
bafa,bofa,3,2,2,4,1930
besi,aasm,1,2,2,5,NA
besi,cono,1,2,2,6,NA
besi,gumo,1,2,2,6,NA
bobu,frsi,1,2,1,6,1946
bobu,jofi,1,2,3,6,1946
bofa,cono,3,2,2,4,1930
bofa,gibo,3,1,2,6,1930
bofa,lufa,3,2,2,4,1930
bofa,gifa,3,2,2,4,1930
bofa,bafa,3,2,2,4,1930
bofa,brfa,3,2,2,4,1930
bofa,cifa,3,2,2,4,1930
bofa,defa,3,2,2,4,1930
bofa,gefa,3,2,2,4,1930
bofa,mafa,3,2,2,4,1930
bofa,drafa,3,2,2,4,1930
bofa,trfa,3,2,2,4,1930
bofa,sama,3,2,2,4,1931
bofa,gadi,3,2,2,6,1964
bofa,cofa,3,2,2,4,1930
brfa,cofa,3,2,2,4,1930
brfa,bofa,3,2,2,4,1930
caci,frsi,2,2,3,5,1963
caci,nici,3,1,3,5,1963
caga,gafa,3,1,2,NA,1957
caga,ande,1,2,2,6,1972
caga,japo,2,NA,2,6,1972
caga,frsi,1,2,2,6,1972
caga,erri,1,2,2,6,1972
caga,roal,1,2,2,1,1971
caga,cono,3,2,2,NA,NA
caga,galu,2,2,2,4,NA
caga,lufa,2,2,2,4,NA
cama,frsi,1,2,3,5,1962
cama,satr,2,2,NA,5,1962
cama,cono,3,2,2,NA,1962
cama,mafa,3,1,2,NA,1962
chba,frsi,2,2,1,4,1946
chba,chfi,1,2,1,4,1946
chfi,mafi,2,1,3,6,1946
chfi,chba,1,2,1,4,1946
chfi,jofi,1,1,1,4,1946
chfi,rofi,2,1,2,6,NA
