from,to,weight,family,work,activity,year
edro,frro,3,1,1,6,1886
frro,edro,3,1,1,6,1886
ansi,dosi,3,1,3,6,1913
dosi,ansi,3,1,3,6,1913
ansi,frsi,3,1,3,6,1915
dosi,frsi,3,1,3,6,1915
frsi,ansi,3,1,3,6,1915
frsi,dosi,3,1,3,6,1915
fede,chou,3,2,2,4,1920
ande,gafa,3,2,2,N/A,1930
jape,frsi,1,2,1,6,1935
papr,frsi,1,2,1,6,1935
frta,frsi,1,2,1,5,1935
frsi,jape,1,2,1,6,1935
frsi,papr,1,2,1,6,1935
frsi,frta,1,2,1,6,1935
axst,todo,2,2,1,6,1935
todo,axst,2,2,1,6,1935
naba,frsi,2,1,1,6,1939
frsi,naba,2,1,1,6,1939
haja,frsi,1,2,1,6,1939
frsi,haja,1,2,1,6,1939
naba,nasi,3,1,1,6,1940
frsi,nasi,3,1,1,6,1940
nasi,frsi,3,1,1,6,1940
nasi,naba,3,1,1,6,1940
todo,frsi,2,2,1,6,1940
frsi,todo,2,2,1,6,1940
axst,frsi,2,2,1,6,1940
frsi,axst,2,2,1,6,1940
frsi,todo,2,2,1,4,1942
todo,frsi,2,2,1,4,1942
rofi,todo,1,2,2,1,1942
todo,rofi,1,2,2,1,1942
axst,core,2,2,1,4,1943
core,axst,2,2,1,4,1943
core,frsi,3,2,1,4,1943
frsi,core,3,2,1,4,1943
gemu,frsi,1,2,1,6,1943
frsi,gemu,1,2,1,6,1943
todo,pada,2,1,3,6,1943
pada,todo,2,1,3,6,1943
jata,frsi,2,2,N/A,4,1948
frsi,alle,2,2,1,4,1943
alle ,frsi,2,2,1,4,1943
rowe,frsi,1,2,1,6,1944
frsi,rowe,1,2,1,6,1944
frsi,frro,1,2,1,6,1944
frro,frsi,1,2,1,6,1944
bedo,frsi,1,2,1,6,1944
gigr,frsi,1,2,1,6,1944
bedo,gigr,1,2,1,6,1944
gigr,bedo,1,2,1,6,1944
bedo,vima,1,2,1,6,1944
gigr,vima,1,2,1,6,1944
frsi,edro,1,2,1,6,1944
edro,frsi,1,2,1,6,1944
abwe,frsi,1,2,1,6,1944
frsi,abwe,1,2,3,6,1944
euke,frsi,1,2,1,6,1944
frsi,euke,1,2,1,6,1944
neri,todo,1,2,1,6,1945
todo,neri,1,2,1,6,1945
frsi,salu,1,2,N/A,4,1945
salu,frsi,1,2,N/A,4,1945
frsi,moli,1,2,3,2,1945
moli,frsi,1,2,3,6,1945
kaki,moli,1,2,N/A,6,1945
moli,kaki,1,2,N/A,6,1945
sawe,moli,1,2,N/A,2,1945
sawe,frsi,1,2,3,6,1945
frsi,sawe,1,2,3,6,1945
frsi,earo,1,2,1,4,1945
earo,frsi,1,2,1,4,1945
juch,frsi,1,2,1,6,1946
frsi,juch,1,2,1,6,1946
metr,care,3,2,1,4,1946
care,metr,3,2,1,4,1946
jopag,gefa,2,2,2,6,1946
rofi,frsi,1,2,N/A,6,1946
frsi,rofi,1,2,N/A,6,1946
jofi,frsi,1,2,N/A,6,1946
frsi,jofi,1,2,N/A,6,1946
bobu,frsi,1,2,1,6,1946
frsi,bobu,1,2,1,6,1946
jofi,bobu,1,2,3,6,1946
bobu,jofi,1,2,3,6,1946
chfi,mafi,2,1,3,6,1946
mafi,chfi,2,1,3,6,1946
frsi,nifi,1,2,N/A,6,1946
nifi,frsi,1,2,N/A,6,1946
joda,frsi,1,2,1,6,1946
frsi,joda,1,2,1,6,1946
viru,joda,1,2,1,6,1946
joda,viru,1,2,1,6,1946
frsi,stbu,1,2,1,4,1946
stbu,frsi,1,2,1,4,1946
frsi,paro,1,2,1,5,1946
paro,frsi,1,2,1,5,1946
frsi,chba,2,2,1,4,1946
chba,frsi,2,2,1,4,1946
frsi,jofi,3,2,1,N/A,1946
jofi,frsi,3,2,1,N/A,1946
chba,chfi,1,2,1,4,1946
chfi,chba,1,2,1,4,1946
chfi,jofi,1,1,1,4,1946
jofi,chfi,1,1,1,4,1946
frsi,alsi,2,2,1,4,1946
alsi,frsi,2,2,1,4,1946
frsi,jofi,1,2,N/A,5,1947
frsi,rofi,1,2,N/A,5,1947
frsi,salu,3,2,N/A,5,1947
jofi,frsi,1,2,N/A,5,1947
jofi,rofi,3,1,N/A,5,1947
jofi,salu,1,2,N/A,5,1947
rofi,frsi,3,2,N/A,5,1947
rofi,jofi,3,1,N/A,5,1947
rofi,salu,1,2,N/A,5,1947
salu,frsi,3,2,N/A,5,1947
salu,jofi,1,2,N/A,5,1947
salu,rofi,1,2,N/A,5,1947
frsi,tesh,2,2,1,4,1947
tesh,frsi,2,2,1,4,1947
frsi,jofi,3,2,2,4,1947
jofi,frsi,3,2,2,4,1947
frsi,mico,1,2,2,4,1947
mico,frsi,1,2,2,4,1947
frsi,frmi,2,2,1,5,1947
frmi,frsi,2,2,1,5,1947
frmi,frmil,2,2,2,N/A,1947
frmil,frmi,2,2,2,N/A,1947
frsi,salu,2,2,2,4,1947
salu,frsi,2,2,2,4,1947
frsi,geev,2,2,1,4,1947
geev,frst,2,2,1,4,1947
mico,joly,2,2,3,5,1947
joly,mico,2,2,3,5,1947
frsi,joly,2,2,1,4,1947
joly,frsi,2,2,1,4,1947
frsi,otpr,2,2,1,4,1947
otpr,frsi,2,2,1,4,1947
mimi,mere,2,2,1,6,1948
mere,mimi,2,2,1,6,1948
mimi,core,3,2,1,4,1950
core,mimi,3,2,1,4,1950
rocl,frsi,1,2,1,6,1950
frsi,rocl,1,2,1,6,1950
neri,care,2,2,1,4,1950
care,neri,2,2,1,4,1950
frsi,jata,1,2,1,5,1950
jata,frsi,1,2,1,5,1950
jata,hesa,1,2,1,4,1950
hesa,jata,1,2,1,4,1950
frsi,hesa,3,2,2,4,1950
hesa,frsi,3,2,2,4,1950
mimi,frsi,1,2,1,6,1951
frsi,mimi,1,2,1,6,1951
avga,frsi,2,1,3,6,1951
frsi,avga,2,1,3,6,1951
frsi,jopr,1,2,3,5,1951
jopr,frsi,1,2,3,5,1951
frsi,salu,2,2,3,5,1951
salu,frsi,2,2,3,5,1951
frsi,joad,2,2,2,4,1952
joad,frsi,2,2,2,4,1952
joad,jata,1,2,2,4,1952
jata,joad,1,2,2,4,1952
gumo,jata,1,2,2,4,1952
jata,gumo,1,2,2,4,1952
frsi,care,3,2,1,4,1953
care,frsi,3,2,1,4,1953
axst,care,1,2,1,4,1953
care,axst,1,2,1,4,1953
neri,frsi,2,2,1,6,1953
frsi,neri,2,2,1,6,1953
metr,frsi,1,2,1,6,1953
frsi,metr,1,2,1,6,1953
frsi,jodi,2,2,2,5,1954
jogi,frsi,2,2,2,5,1954
frsi,shst,1,2,2,2,1954
shst,frsi,1,2,2,2,1954
jodi,shst,2,2,2,2,1954
shst,jodi,2,2,2,2,1954
frsi,macl,1,2,1,4,1955
macl,frsi,1,2,1,4,1955
frsi,gumo,3,2,1,4,1955
gumo,frsi,3,2,1,4,1955
frsi,vimo,1,2,1,5,1955
vimo,frsi,1,2,1,5,1955
vimo,anst,1,2,1,4,1956
anst,vimo,1,2,1,4,1956
anst,cono,3,1,2,N/A,1956
cono,anst,3,1,2,N/A,1956
caga,gafa,3,1,2,N/A,1957
joga,gafa,1,2,2,6,1957
frsi,jofi,2,2,1,4,1958
jofi,frsi,2,2,1,4,1958
frsi,sagi,3,2,2,4,1958
sagi ,frsi,3,2,2,4,1958
frsi,nast,1,2,1,5,1958
