from,to,weight,relationship,activity
frsi,lulu,3,2,NA
frsi,sagi,3,2,NA
frsi,cagam,2,2,NA
frsi,paca,1,2,NA
frsi,jogo,1,2,NA
frsi,vige,2,2,NA
frsi,tolu,2,2,NA
frsi,ansa,2,2,NA
frsi,mela,3,2,NA
frsi,frco,3,2,NA
frsi,busi,2,2,NA
frsi,wimo,3,1,NA
frsi,jobo,1,2,NA
frsi,anbr,1,2,NA
frsi,sagr,1,2,NA
frsi,alan,2,2,NA
frsi,vigi,1,2,NA
frsi,pego,1,2,NA
frsi,cagal,1,2,NA
frsi,toac,1,2,NA
lulu,mela,3,2,NA
lulu,frco,3,2,NA
cagam,paca,3,3,NA
cagam,alan,3,2,NA
jogo,sagr,3,2,NA
jogo,pego,3,3,NA
vige,frco,3,2,NA
vige,tolu,3,2,NA
vige,vigi,3,2,NA
mela,busi,3,2,NA
