id,id_name,nickname,sex,position,age_death,city,state,type
frsi,Frank Sinatra,The Voice,2,1,82,Hoboken,NJ,1
lulu,Lucky Luciano,Charles Luciano,2,3,64,New York,NY,1
sagi,Sam Giancana,Momo,2,3,67,Chicago,IL,1
cagam,Carlo Gambino,Don Carlo,2,3,74,New York,NY,1
paca,Paul Castellano,Big Paul,2,3,70,New York,NY,1
jogo,John Gotti,Teflon Don,2,3,61,New York,NY,1
vige,Vito Genovese,Don Vito,2,3,71,New York,NY,1
tolu,Tommy Lucchese,Three-Finger Brown,2,3,67,New York,NY,1
ansa,Anthony Salerno,Fat Tony,2,3,80,New York,NY,1
mela,Meyer Lansky,The Mob's Accountant,2,3,80,Miami,FL,1
frco,Frank Costello,The Prime Minister,2,3,82,New York,NY,1
busi,Bugsy Siegel,Bugsy,2,3,41,Las Vegas,NV,1
wimo,Willie Moretti,Willie Moore,2,2,57,New York,NY,1
jobo,Joseph Bonanno,Joe Bananas,2,3,97,New York,NY,1
anbr,Angelo Bruno,The Gentle Don,2,3,69,Philadelphia,PA,1
sagr,Sammy Gravano,The Bull,2,2,77,New York,NY,1
alan,Albert Anastasia,The Mad Hatter,2,3,55,New York,NY,1
vigi,Vincent Gigante,The Oddfather,2,3,77,New York,NY,1
pego,Peter Gotti,One Eyed Pete,2,3,81,New York,NY,1
cagal,Carmine Galante,The Cigar,2,3,69,New York,NY,1
toac,Tony Accardo,Joe Batters,2,3,86,Chicago,IL,1
